1	1	20.000000	3.215463	52.924330	0.523686	3.416576
2	0	41.875871	3.054626	65.538543	1.573512	1.000000
3	0	61.043857	4.609438	45.266385	0.672930	2.521580
4	0	87.281800	2.041101	68.625067	1.112046	1.803555
5	0	93.621460	3.416867	46.697901	2.000000	2.111473
6	1	100.000000	4.917606	56.702467	1.332030	1.109794
7	0	21.455757	2.728675	57.862737	1.963041	1.447894
8	0	37.726457	2.823599	45.824020	1.166127	3.802563
9	1	43.114289	5.000000	69.980574	0.500000	2.793806
10	1	50.139614	2.114783	75.000000	1.749531	2.993507
11	1	76.216004	3.340413	71.240187	0.741979	1.171431
12	0	83.074678	3.652847	59.267152	1.522380	3.298972
13	1	30.478171	3.508041	71.940381	1.898417	3.629699
14	0	36.050746	4.729307	53.882797	1.717751	1.885117
15	1	47.289680	4.043069	56.308767	0.776070	4.000000
16	0	79.308249	2.276092	45.000000	1.652167	1.299450
17	1	94.742478	4.347320	62.273508	0.541253	1.535801
18	1	96.953371	2.895967	73.051167	1.405205	2.630787
19	1	25.017405	3.885551	74.728521	0.625267	1.995101
20	1	54.131412	2.586496	60.768546	0.951805	2.213895
21	1	58.234492	4.950438	62.631506	1.989530	3.865908
22	1	66.825796	3.796041	50.028105	1.233137	1.639062
23	1	73.551989	4.172068	67.256095	1.815060	2.360731
24	0	99.319592	2.170521	48.445024	0.815174	3.189658
25	1	22.673220	4.494461	64.386833	1.277577	3.071804
26	0	26.568421	2.000000	50.974379	1.475394	2.446609
27	1	29.152943	4.248267	47.383579	0.911687	1.050866
28	1	65.447295	2.322755	66.320649	0.588629	3.718448
29	1	70.624471	4.771293	74.154162	1.029202	3.472291
30	0	88.987788	2.516536	52.342672	1.844447	3.960349
31	1	22.000000	3.215000	58.217000	0.576000	3.417000
32	1	37.700000	3.060000	59.000000	1.417185	1.000000
33	1	25.000000	4.500000	51.881667	1.117185	3.208750
34	1	25.000000	4.500000	57.921667	0.275718	1.593750
